case_id,case_title,case_citation,parallel_cite,filed_date,not_rule36,number_of_patents,note,patent1,patent1_cpc,patent1_find_error,patent1_reverse,patent2,patent2_cpc,patent2_find_error,patent2_reverse,patent3,patent3_cpc,patent3_find_error,patent3_reverse,patent4,patent4_cpc,patent4_find_error,patent4_reverse,patent5,patent5_cpc,patent5_find_error,patent5_reverse,patent6,patent6_cpc,patent6_find_error,patent6_reverse,patent7,patent7_cpc,patent7_find_error,patent7_reverse
2,"Polymer Indus. Products Co. v. Bridgestone/Firestone, Inc.",10 Fed.Appx. 812,2001 WL 253259,13/3/2001,1,1,,4381331,B29C37/0075,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3,"Pandrol USA v. Airboss Ry. Products, Inc.",10 Fed.Appx. 837,2001 WL 294132,27/3/2001,1,2,,4463898,E01B9/30,0,0,5110046,E01B9/68,1,1,,,,,,,,,,,,,,,,,,,,
4,"Research Corp. Technologies, Inc. v. Gensia Laboratories, Inc.",10 Fed.Appx. 856,2001 WL 287093,23/3/2001,1,1,,5562925,A61K33/243,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5,"Lencco Racing Co., Inc. v. Jolliffe",10 Fed.Appx. 865,2001 WL 294147,26/3/2001,1,1,,5538120,F16D5/00,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7,"Bernard Dalsin Manufacturing Co. v. RMR Products, Inc.",10 Fed.Appx. 882,2001 WL 482374,7/5/2001,1,1,,4554863,F23L11/005,1,1,,,,,,,,,,,,,,,,,,,,,,,,
9,"Transonic Systems, Inc. v. Non-Invasive Medical Technologies Corp.",10 Fed.Appx. 928,2001 WL 585143,29/5/2001,1,1,,5685989,A61M1/3653,1,1,,,,,,,,,,,,,,,,,,,,,,,,
11,"Herr-Voss Corp. v. Delta Brands, Inc.",101 F.3d 714,1996 WL 651688,8/11/1996,1,1,,4614101,B21D1/02,1,1,,,,,,,,,,,,,,,,,,,,,,,,
14,Bradshaw v. Igloo Products Corp.,101 F.3d 716,41 U.S.P.Q.2d 1314,15/11/1996,1,1,,4873841,F25D3/06,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,"Warminster Fiberglass Co., Inc. v. Delta Fiberglass Structures, Inc.",101 F.3d 716,42 U.S.P.Q.2d 1154,14/11/1996,1,1,,4391704,C02F3/145,0,0,,,,,,,,,,,,,,,,,,,,,,,,
16,Alpex Computer Corp. v. Nintendo Co. Ltd.,102 F.3d 1214,40 U.S.P.Q.2d 1667,6/11/1996,1,1,,4026555,A63F13/00,1,1,,,,,,,,,,,,,,,,,,,,,,,,
18,Cole v. Kimberly-Clark Corp.,102 F.3d 524,65 USLW 2416,6/12/1996,1,1,Circuit Judge Rader dissented,4743239,A61F13/496,0,0,,,,,,,,,,,,,,,,,,,,,,,,
19,"Wiener v. NEC Electronics, Inc.",102 F.3d 534,41 U.S.P.Q.2d 1023,6/12/1996,1,1,,3771145,,1,0,,,,,,,,,,,,,,,,,,,,,,,,
20,"Animatics Corp. v. Quicksilver Controls, Inc.",102 Fed.Appx. 659,2004 WL 1375690,8/6/2004,1,1,,5912541,H02K11/33,1,1,,,,,,,,,,,,,,,,,,,,,,,,
24,"Micro Chemical, Inc. v. Great Plains Chemical Co., Inc.",103 F.3d 1538,65 USLW 2487,3/1/1997,1,1,"even if construed as Micro argues, was harmless error.",4733971,G05D11/001,0,0,,,,,,,,,,,,,,,,,,,,,,,,
28,"General Mills, Inc. v. Hunt-Wesson, Inc.",103 F.3d 978,41 U.S.P.Q.2d 1440,9/1/1997,1,1,,4267420,B65D81/3461,0,0,,,,,,,,,,,,,,,,,,,,,,,,
29,"VLT, Inc. v. Artesyn Technologies, Inc.",103 Fed.Appx. 356,2004 WL 1194245,24/5/2004,1,1,,RE36098,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
30,"Ekchian v. Home Depot, Inc.",104 F.3d 1299,41 U.S.P.Q.2d 1364,10/1/1997,1,1,,4624140,G01C9/06,1,1,,,,,,,,,,,,,,,,,,,,,,,,
32,"Bellehumeur v. J.B. Marketing, Inc.",104 F.3d 376,41 U.S.P.Q.2d 1792,26/12/1996,1,1,,5275410,A63B67/14,0,0,,,,,,,,,,,,,,,,,,,,,,,,
34,"Valmet Paper Machinery, Inc. v. Beloit Corp.",105 F.3d 1409,41 U.S.P.Q.2d 1619,28/1/1997,1,1,,3868780,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
35,"American Permahedge, Inc. v. Barcana, Inc.",105 F.3d 1441,41 U.S.P.Q.2d 1614,31/1/1997,1,1,,4872647,E04H17/02,1,0,,,,,,,,,,,,,,,,,,,,,,,,
36,"J.T. Eaton & Co., Inc. v. Atlantic Paste & Glue Co.",106 F.3d 1563,41 U.S.P.Q.2d 1641,11/2/1997,1,1,Judge Rader dissented,4438584,A01M23/005,1,1,,,,,,,,,,,,,,,,,,,,,,,,
